Lowongan Kerja di Karirhub Menurut Golongan Pokok Jabatan Tahun 2022-2024,,,,,,
,,,,,,
Golongan Pokok Jabatan (KBJI Digit 1),2022,,2023,,2024,
,Postingan Lowongan,Kuota Lowongan,Postingan Lowongan,Kuota Lowongan,Postingan Lowongan,Kuota Lowongan
1. Manager,774,"5,471","1,925","3,313",978,"5,446"
2. Profesional,"2,846","29,709","5,091","22,651","3,792","22,294"
3. Teknisi dan Asisten Ahli,"1,888","17,607","4,146","19,612","5,084","21,226"
4. Tenaga Tata Usaha,"1,751","36,336","3,341","16,050","2,034","16,142"
5. Tenaga Usaha Jasa dan Usaha Penjualan,"2,140","103,572","3,603","144,094","2,140","67,104"
6. Pekerja Terampil Pertanian; Kehutanan dan Perikanan,14,543,45,"2,847",17,275
7. Pekerja Pengolahan; Kerajinan dan YBDI,463,"10,091",648,"5,784",585,"9,001"
8. Operator dan Perakit Mesin,514,"47,307",478,"19,810","2,029","52,206"
9. Pekerja Kasar,305,"16,471",750,"100,299",510,"58,469"
Total,"10,695","267,107","20,027","334,460","17,169","252,163"
,,,,,,
Sumber: Karirhub,,,,,,
