Pemberi kerja yang posting lowongan di Karirhub Menurut Provinsi Tahun 2022-2024,,,
,,,
Provinsi,Jumlah pemberi kerja,,
,2022,2023,2024
Aceh,5,8,11
Sumatera Utara,92,50,71
Sumatera Barat,77,121,67
Riau,70,43,71
Jambi,55,15,15
Sumatera Selatan,62,51,43
Bengkulu,4,10,14
Lampung,38,23,21
Kepulauan Bangka Belitung,9,20,14
Kepulauan Riau,75,64,63
DKI Jakarta,389,492,576
Jawa Barat,328,443,390
Jawa Tengah,258,244,261
D.I. Yogyakarta,80,94,120
Jawa Timur,210,316,207
Banten,141,224,215
Bali,95,114,117
Nusa Tenggara Barat,39,36,15
Nusa Tenggara Timur,19,14,19
Kalimantan Barat,32,25,18
Kalimantan Tengah,16,29,28
Kalimantan Selatan,36,22,57
Kalimantan Timur,71,57,71
Kalimantan Utara,6,7,5
Sulawesi Utara,50,38,22
Sulawesi Tengah,33,24,18
Sulawesi Selatan,87,64,36
Sulawesi Tenggara,45,22,18
Gorontalo,5,11,6
Sulawesi Barat,14,5,4
Maluku,13,13,16
Maluku Utara,13,7,9
Papua Barat,5,3,5
Papua Barat Daya,,8,6
Papua,11,5,8
Papua Selatan,,3,3
Papua Tengah,,3,2
Papua Pegunungan,,2,2
Indonesia,"2,483","2,730","2,644"
,,,
Sumber: Karirhub,,,
